code,description,category
97036,Hydrotherapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97039,Physical therapy treatment,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97110,Therapeutic exercises,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97112,Neuromuscular reeducation,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97113,Aquatic therapy/exercises,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97116,Gait training therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97124,Massage therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97129,Ther ivntj 1st 15 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97130,Ther ivntj ea addl 15 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97139,Physical medicine procedure,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97140,Manual therapy,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97150,Group therapeutic procedures,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97161,Pt eval low complex 20 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97162,Pt eval mod complex 30 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97163,Pt eval high complex 45 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97164,Pt re-eval est plan care,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97165,Ot eval low complex 30 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97166,Ot eval mod complex 45 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97167,Ot eval high complex 60 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97168,Ot re-eval est plan care,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97530,Therapeutic activities,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97533,Sensory integration,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97535,Self care mngment training,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97537,Community/work reintegration,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97542,Wheelchair mngment training,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97545,Work hardening,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97546,Work hardening add-on,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97550,Caregiver traing 1st 30 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97551,Caregiver traing ea addl 15,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97552,Group caregiver training,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97597,RMVL devital tis 20cm/<,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97598,RMVL devital tis addl 20 cm<,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97602,Wound(s) care non-selective,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97605,Neg press wound tx < 50 cm,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97606,Neg press wound tx > 50 cm,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97607,Neg press wnd tx </=50 sq cm,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97608,Neg press wound tx >50 cm,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97610,Low frequency non-thermal US,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97750,Physical performance test,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97755,Assistive technology assess,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97760,Orthotic mgmt&trainj 1st enc,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97761,Prosthetic trainj 1st enc,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97763,Orth/prostc mgmt sbsq enc,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
97799,Physical medicine procedure,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98966,Ph1 assmt&mgmt nqhp 5-10,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98967,Ph1 assmt&mgmt nqhp 11-20,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98968,Ph1 assmt&mgmt nqhp 21-30,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98970,Nqhp ol dig assmt&mgmt 5-10,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98971,Nqhp ol dig assmt&mgmt 11-20,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98972,Nqhp ol dig assmt&mgmt 21+,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98975,Rem ther mntr 1st set-up&edu,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98976,Rtm dev sply resp sys 16-30d,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98977,Rtm dev sply mscskl 16-30 d,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98979,Rtm tx mgmt 1st 10 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98980,Rtm tx mgmt 1st 20 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98981,Rtm tx mgmt ea addl 20 min,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98984,Rtm dev sply resp sys 2-15 d,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
98985,Rtm dev sply mscsk sys 2-15d,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
G0281,Elec stim unattend for press,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
G0283,Elec stim other than wound,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
G0329,Electromagntic tx for ulcers,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
G0451,Development test interp & rep,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
G0541,No pt prsnt train initial 30,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
G0542,No pt prsnt train add 15,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
G0543,Group train w/o patient,"""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
G2250,"""Remot img sub by pt, non e/m""","""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
G2251,"""Brief chkin, 5-10, non-e/m""","""PHYSICAL THERAPY, OCCUPATIONAL THERAPY, AND OUTPATIENT SPEECH-LANGUAGE PATHOLOGY SERVICES"""
0174T,Cad cxr with interp,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0175T,Cad cxr remote,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0330T,Tear film img uni/bi w/i&r,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0331T,Heart symp image plnr,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0332T,Heart symp image plnr spect,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0422T,Tactile breast img uni/bi,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0558T,Ct scan f/biomchn ct alys,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0598T,R-t fluor wound img 1st site,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0599T,R-t fluor wound img ea addl,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0633T,Ct breast w/3d uni c-,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0634T,Ct breast w/3d uni c+,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0635T,Ct breast w/3d uni c-/c+,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0636T,Ct breast w/3d bi c-,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0637T,Ct breast w/3d bi c+,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0638T,Ct breast w/3d bi c-/c+,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0640T,Ncntc ifr spctrsc o/t pad 1,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0648T,Quan mr alys tiss w/o mri,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0649T,Quan mr alys tiss w/mri,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0721T,Quan ct tiss charac w/o ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0722T,Quan ct tiss charac w/ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0723T,Qmrcp w/o dx mri sm anat ses,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0724T,Qmrcp w/dx mri same anatomy,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0807T,Pulm tiss vntj alys prev ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0808T,Pulm tiss vntj alys w/ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0815T,Us rems b1 dns hips plvs/spi,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0857T,Opto-acoustic img breast uni,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0859T,Ncntc ifr spctrsc o/t pad ea,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0860T,Ncntc ifr spctrsc scr pad,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0865T,Quan mri alys brn w/o dx mri,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0866T,Quan mri alys brn w/dx mri,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0877T,Augmnt alys ch ct ild w/o ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0878T,Augmnt alys ch ct ild w/ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0879T,Augmnt alys ch ct ild prep,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0880T,Augmnt alys ch ct ild i&r,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0889T,Prsnlz trgt dvl arhfcmrigtbs,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0898T,N-invas prst8 cancer est map,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0899T,N-invas deter aqmbf aug cmr,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0900T,N-invas est aqmbf asstv cmr,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0932T,N-invs det hrt fail aug echo,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0944T,3d cntr simula trgt lvr les,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0946T,Ortho impl mvmt alys pair ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0961T,Shortwave ifr radiation img,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0972T,Asstv alg clsfctn burn hlg,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0977T,Upr gi bld detcj snr capsule,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0984T,Iv img xtrc cere vsl oct 1st,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0985T,Iv img xtrc cere vsl oct ea,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0986T,Iv img icr cere vsl oct 1st,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0987T,Iv img icr cere vsl oct ea,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0992T,N-invas assmt car rsk w/o ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
0993T,N-invas assmt car rsk w/ct,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
1010T,Cptr oph alys monoc eye mvmt,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
51798,Us urine capacity measure,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70100,X-ray exam of jaw,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70110,X-ray exam of jaw,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70120,X-ray exam of mastoids,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70130,X-ray exam of mastoids,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70134,X-ray exam of middle ear,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70140,X-ray exam of facial bones,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70150,X-ray exam of facial bones,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70160,X-ray exam of nasal bones,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70190,X-ray exam of eye sockets,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70200,X-ray exam of eye sockets,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70210,X-ray exam of sinuses,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70220,X-ray exam of sinuses,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70240,X-ray exam pituitary saddle,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70250,X-ray exam of skull,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70260,X-ray exam of skull,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70300,X-ray exam of teeth,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70310,X-ray exam of teeth,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70320,Full mouth x-ray of teeth,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70328,X-ray exam of jaw joint,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70330,X-ray exam of jaw joints,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70336,Magnetic image jaw joint,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70350,X-ray head for orthodontia,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70355,Panoramic x-ray of jaws,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70360,X-ray exam of neck,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70370,Throat x-ray & fluoroscopy,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70371,Speech evaluation complex,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70380,X-ray exam of salivary gland,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70450,Ct head/brain w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70460,Ct head/brain w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70470,Ct head/brain w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70471,Cta h&n c+ w/noncontrast img,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70472,Ct cere prfu alys c+w/ct/cta,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70473,Ct cere prfu aly c+wo ct/cta,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70480,Ct orbit/ear/fossa w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70481,Ct orbit/ear/fossa w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70482,Ct orbit/ear/fossa w/o&w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70486,Ct maxillofacial w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70487,Ct maxillofacial w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70488,Ct maxillofacial w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70490,Ct soft tissue neck w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70491,Ct soft tissue neck w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70492,Ct sft tsue nck w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70496,Ct angiography head,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70498,Ct angiography neck,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70540,Mri orbit/face/neck w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70542,Mri orbit/face/neck w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70543,Mri orbt/fac/nck w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70544,Mr angiography head w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70545,Mr angiography head w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70546,Mr angiograph head w/o&w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70547,Mr angiography neck w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70548,Mr angiography neck w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70549,Mr angiograph neck w/o&w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70551,Mri brain w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70552,Mri brain w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70553,Mri brain w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70554,Fmri brain by tech,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
70555,Fmri brain by phys/psych,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71045,X-ray exam chest 1 view,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71046,X-ray exam chest 2 views,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71047,X-ray exam chest 3 views,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71048,X-ray exam chest 4+ views,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71100,X-ray exam of ribs,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71101,X-ray exam of ribs/chest,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71110,X-ray exam of ribs,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71111,X-ray exam of ribs/chest,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71120,X-ray exam of breastbone,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71130,X-ray exam of breastbone,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71250,Ct thorax dx c-,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71260,Ct thorax dx c+,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71270,Ct thorax dx c-/c+,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71271,Ct thorax lung cancer scr c-,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71275,Ct angiography chest,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71550,Mri chest w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71551,Mri chest w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71552,Mri chest w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
71555,Mri angio chest w or w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72020,X-ray exam of spine,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72040,X-ray exam neck spine 3/<vws,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72050,X-ray exam of neck spine,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72052,X-ray exam of neck spine,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72070,X-ray exam of thoracic spine,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72072,X-ray exam of thoracic spine,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72074,X-ray exam of thoracic spine,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72080,X-ray exam of trunk spine,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72081,X-ray exam entire spi 1 vw,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72082,X-ray exam entire spi 2/3 vw,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72083,X-ray exam entire spi 4/5 vw,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72084,X-ray exam entire spi 6/> vw,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72100,X-ray exam of lower spine,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72110,X-ray exam of lower spine,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72114,X-ray exam of lower spine,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72120,X-ray exam of lower spine,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72125,Ct neck spine w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72126,Ct neck spine w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72127,Ct neck spine w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72128,Ct chest spine w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72129,Ct chest spine w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72130,Ct chest spine w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72131,Ct lumbar spine w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72132,Ct lumbar spine w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72133,Ct lumbar spine w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72141,Mri neck spine w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72142,Mri neck spine w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72146,Mri chest spine w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72147,Mri chest spine w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72148,Mri lumbar spine w/o dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72149,Mri lumbar spine w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72156,Mri neck spine w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72157,Mri chest spine w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72158,Mri lumbar spine w/o & w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72159,Mr angio spine w/o&w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72170,X-ray exam of pelvis,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72190,X-ray exam of pelvis,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
72191,Ct angiograph pelv w/o&w/dye,RADIOLOGY AND CERTAIN OTHER IMAGING SERVICES
